,fromId,toId,val,tokenId,address,transaction_hash,block_number
0,949705,70991,0.0,0x0000000000000000000000000000000000000000000000000000000000021fb8,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,11870977
1,70991,949705,0.0,0x0000000000000000000000000000000000000000000000000000000000021ee2,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,11870977
2,142212,1043889,0.0,0x00000000000000000000000000000000000000000000000000000000000214a5,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0xbcb13ba0bcec922a7cbf4fff167745d73b2df90e032371608a01444fea308b9e,11870978
3,350402,1025286,0.9,0x00000000000000000000000000000000000000000000000000000000000f4312,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,0x1b6d55f12526eab83ae2d7b04bc3a5187e370d67c18052d29c2097610c15076d,11870978
4,970529,645613,0.0,0x89aac674d6783a88a0840c614574120190697299f1bfbe74f4a9c0ee4deb55a6,0x2a187453064356c898cae034eaed119e1663acb8,0xe4ee91647d23dbb5130832337f0bcfd5c060bfc40de0bc93514e555ea6085822,11870980
5,0,680494,0.0,0x000000000000000000000000000000000000000000000000000000000000023d,0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7,0xb585d78d9dcf5c37f2b9ffeddabcd7a7de861b20f6119d9e2b593d5ecea9d6ec,11871077
6,649474,437692,0.0,0x0000000000000000000000000000000000000000000000000000000000000135,0x4ad4455ad5ef891695c221e8e683efa65fabede0,0x4575088596f70ff619d826e8e21c22a164eb2533da9c85e274dcddcfa759033f,11870980
7,754326,0,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
8,0,170791,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
9,170791,583305,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
